screenshot_title,on land?,holding item?,potential mob spawn?,full_hearts?
archering_100.png,1,1,0,0
archering_108.png,1,1,0,0
archering_112.png,1,1,0,0
archering_12.png,1,1,0,1
archering_1546.png,1,1,0,0
archering_1564.png,1,1,0,0
archering_1569.png,1,1,1,1
archering_1574.png,1,1,0,0
archering_1609.png,1,1,0,1
archering_1613.png,1,1,0,1
archering_1615.png,1,1,0,1
archering_1621.png,1,1,0,1
archering_1635.png,1,1,0,1
archering_1644.png,1,1,1,1
archering_1648.png,1,1,1,1
archering_1654.png,1,1,1,1
archering_1665.png,1,1,1,0
archering_1669.png,1,1,1,0
archering_1679.png,1,1,0,0
archering_1680.png,1,1,1,0
archering_1682.png,1,1,1,0
archering_1683.png,1,1,0,0
archering_1684.png,1,1,1,1
archering_1687.png,1,1,0,0
archering_1688.png,1,1,1,1
archering_1697.png,1,1,1,0
archering_1702.png,1,1,0,0
archering_1714.png,1,1,0,0
archering_1722.png,1,1,0,0
archering_1731.png,1,1,1,0
archering_1746.png,1,1,0,0
archering_1750.png,1,1,0,0
archering_1752.png,1,1,0,0
archering_1758.png,1,1,0,0
archering_1761.png,1,1,1,0
archering_1766.png,1,1,0,0
archering_1774.png,1,1,0,0
archering_1786.png,1,1,0,0
archering_1800.png,1,1,0,0
archering_1803.png,1,1,0,0
archering_1804.png,1,1,0,0
archering_1818.png,1,1,0,0
archering_1848.png,1,1,0,0
archering_1855.png,1,1,0,1
archering_1858.png,1,1,0,0
archering_1862.png,1,1,0,0
archering_1868.png,1,1,0,0
archering_1874.png,1,1,0,0
archering_1886.png,1,1,0,0
archering_1894.png,1,1,0,0
archering_1912.png,1,1,0,0
archering_1922.png,1,1,0,0
archering_1934.png,1,1,0,0
archering_1938.png,1,1,0,0
archering_1952.png,1,1,0,0
archering_1958.png,1,1,0,0
archering_1968.png,1,1,0,0
archering_1984.png,1,1,0,0
archering_1986.png,1,1,0,0
archering_1988.png,1,1,0,0
archering_1989.png,1,1,0,0
archering_1990.png,1,1,0,0
archering_1992.png,1,1,0,0
archering_2003.png,1,1,0,0
archering_2007.png,1,1,0,1
archering_2013.png,1,1,0,1
archering_2017.png,1,1,0,1
archering_2018.png,1,1,0,1
archering_2021.png,1,1,0,1
archering_2031.png,1,1,0,1
archering_2032.png,1,1,0,1
archering_2048.png,1,1,0,1
archering_2050.png,1,1,0,1
archering_2059.png,1,1,0,1
archering_2060.png,1,1,0,1
archering_2063.png,1,1,0,1
archering_2067.png,1,1,0,1
archering_2068.png,1,1,0,1
archering_2069.png,1,1,0,1
archering_2080.png,1,1,0,1
archering_2083.png,1,1,0,1
archering_2084.png,1,1,0,1
archering_2092.png,1,1,0,1
archering_2094.png,1,1,0,1
archering_2100.png,1,1,0,1
archering_2103.png,1,1,0,1
archering_2116.png,1,1,0,1
archering_2117.png,1,1,0,1
archering_2118.png,1,1,0,1
archering_2121.png,1,1,0,1
archering_2125.png,1,1,0,1
archering_2139.png,1,1,0,1
archering_2140.png,1,1,0,1
archering_2144.png,1,1,0,1
archering_2149.png,1,1,0,1
archering_2151.png,1,1,0,1
archering_2152.png,1,1,0,1
archering_2153.png,1,1,0,1
archering_2158.png,1,1,0,1
archering_2164.png,1,1,0,1
archering_2166.png,1,1,0,1
archering_2169.png,1,1,0,1
archering_2172.png,1,1,0,1
archering_2173.png,1,1,0,1
archering_2178.png,1,1,0,1
archering_2181.png,1,1,0,1
archering_2185.png,1,1,0,1
archering_2187.png,1,1,0,1
archering_2198.png,1,1,0,1
archering_2199.png,1,1,0,1
archering_2200.png,1,1,0,1
archering_2206.png,1,1,0,1
archering_2213.png,1,1,0,1
archering_2214.png,1,1,0,1
archering_2215.png,1,1,0,1
archering_2216.png,1,1,0,1
archering_2222.png,1,1,0,1
archering_2223.png,1,1,0,1
archering_2231.png,1,1,0,1
archering_2237.png,1,1,0,1
archering_2238.png,1,1,0,1
archering_2240.png,1,1,0,1
archering_2243.png,1,1,0,1
archering_2244.png,1,1,0,1
archering_2245.png,1,1,0,1
archering_2247.png,1,1,0,1
archering_2252.png,1,1,0,1
archering_2264.png,1,1,0,1
archering_2269.png,1,1,0,1
archering_2270.png,1,1,0,1
archering_2273.png,1,1,0,1
archering_2279.png,1,1,0,1
archering_2281.png,1,1,0,1
archering_2283.png,1,1,0,1
archering_2286.png,1,1,0,1
archering_2287.png,1,1,0,1
archering_2292.png,1,1,0,1
archering_2293.png,1,1,0,1
archering_2294.png,1,1,0,1
archering_2296.png,1,1,0,1
archering_2297.png,1,1,0,1
archering_2300.png,1,1,0,1
archering_2306.png,1,1,0,0
archering_2307.png,1,1,0,0
archering_2314.png,1,1,0,0
archering_2316.png,1,1,0,0
archering_2318.png,1,1,0,0
archering_2321.png,1,1,0,0
archering_2325.png,1,1,0,0
archering_2326.png,1,1,0,0
archering_2333.png,1,1,0,0
archering_2336.png,1,1,0,0
archering_2348.png,1,1,0,0
archering_2349.png,1,1,0,0
archering_235.png,1,1,0,0
archering_2350.png,1,1,0,0
archering_2353.png,1,1,0,0
archering_2391.png,1,1,1,0
archering_2420.png,1,1,1,0
archering_2422.png,1,1,1,0
archering_2429.png,1,1,1,0
archering_2434.png,1,1,1,0
archering_2452.png,1,1,1,0
archering_2508.png,1,1,1,0
archering_2511.png,1,1,1,0
archering_2514.png,1,1,1,0
archering_2516.png,1,1,1,0
archering_2523.png,1,1,1,0
archering_2525.png,1,1,1,0
archering_2526.png,1,1,1,0
archering_2530.png,1,1,1,0
archering_2532.png,1,1,1,0
archering_2536.png,1,1,1,0
archering_2539.png,1,1,1,0
archering_2540.png,1,1,1,0
archering_2541.png,1,1,1,0
archering_2543.png,1,1,1,0
archering_2554.png,1,1,1,0
archering_2556.png,1,1,1,0
archering_2558.png,1,1,1,0
archering_2561.png,1,1,1,0
archering_2563.png,1,1,1,0
archering_2568.png,1,1,1,0
archering_2569.png,1,1,1,0
archering_2579.png,1,1,1,0
archering_2581.png,1,1,1,0
archering_2586.png,1,1,1,0
archering_2589.png,1,1,1,0
archering_2641.png,1,1,1,0
archering_2644.png,1,1,1,0
archering_2645.png,1,1,1,0
archering_2648.png,1,1,1,0
archering_2662.png,1,1,1,0
archering_2663.png,1,1,1,0
archering_2667.png,1,1,1,0
archering_2671.png,1,1,1,0
archering_2674.png,1,1,1,0
archering_2684.png,1,1,1,0
archering_2686.png,1,1,1,0
archering_2691.png,1,1,1,0
archering_2693.png,1,1,1,0
archering_2717.png,1,1,0,0
archering_2718.png,1,1,0,0
archering_273.png,1,1,0,0
archering_277.png,1,1,0,0
archering_2837.png,1,1,0,0
archering_2840.png,1,1,0,0
archering_2844.png,1,1,0,0
archering_2846.png,1,1,0,0
archering_2847.png,1,1,0,0
archering_2851.png,1,1,0,0
archering_2852.png,1,1,0,0
archering_2856.png,1,1,0,0
archering_2858.png,1,1,0,0
archering_2859.png,1,1,0,0
archering_2860.png,1,1,0,0
archering_2864.png,1,1,0,0
archering_2868.png,1,1,0,0
archering_287.png,1,1,0,0
archering_2871.png,1,1,0,0
archering_2872.png,1,1,0,0
archering_2881.png,1,1,0,0
archering_2887.png,1,1,0,0
archering_2888.png,1,1,0,0
archering_2891.png,1,1,0,0
archering_2892.png,1,1,0,0
archering_2898.png,1,1,0,0
archering_2902.png,1,1,0,0
archering_2908.png,1,1,0,0
archering_2911.png,1,1,0,0
archering_2912.png,1,1,0,0
archering_2917.png,1,1,0,0
archering_2921.png,1,1,0,0
archering_293.png,1,1,0,0
archering_2950.png,1,1,1,1
archering_3008.png,1,1,1,1
archering_301.png,1,1,0,0
archering_3029.png,1,1,1,0
archering_3031.png,1,1,1,1
archering_3036.png,1,1,1,1
archering_3040.png,1,1,1,1
archering_3043.png,1,1,1,1
archering_3048.png,1,1,1,1
archering_309.png,1,1,0,0
archering_315.png,1,1,0,0
archering_321.png,1,1,0,0
archering_329.png,1,1,0,0
archering_337.png,1,1,0,0
archering_383.png,1,1,0,0
archering_385.png,1,1,0,0
archering_389.png,1,1,0,0
archering_393.png,1,1,0,0
archering_9.png,1,1,0,1
building_1.png,1,1,0,0
building_104.png,1,1,0,0
building_106.png,1,1,0,0
building_107.png,1,1,0,0
building_108.png,1,1,0,0
building_116.png,1,1,0,0
building_117.png,1,1,0,0
building_119.png,1,1,0,0
building_121.png,1,1,0,0
building_134.png,1,1,0,0
building_135.png,1,1,0,0
building_137.png,1,0,0,1
building_138.png,1,1,0,0
building_139.png,1,1,0,0
building_144.png,1,1,1,1
building_148.png,1,1,1,1
building_149.png,1,1,1,1
building_151.png,1,1,1,1
building_152.png,1,1,1,1
building_153.png,1,1,1,1
building_179.png,1,1,1,0
building_190.png,1,1,1,1
building_20.png,1,1,0,1
building_208.png,1,1,1,1
building_213.png,1,1,1,1
building_221.png,1,1,0,0
building_223.png,1,1,0,0
building_227.png,1,1,0,0
building_229.png,1,1,0,0
building_231.png,1,1,0,0
building_233.png,1,1,0,0
building_236.png,1,1,0,0
building_238.png,1,0,0,0
building_240.png,1,1,0,0
building_242.png,1,1,0,0
building_245.png,1,1,0,0
building_250.png,1,1,0,0
building_254.png,1,1,0,0
building_266.png,1,1,0,1
building_269.png,1,1,0,1
building_27.png,1,1,0,0
building_270.png,1,1,0,0
building_279.png,1,1,0,0
building_286.png,1,1,0,1
building_290.png,1,1,0,1
building_302.png,1,1,0,1
building_305.png,1,1,0,1
building_308.png,1,1,0,1
building_311.png,1,1,0,1
building_314.png,1,1,0,1
building_315.png,1,1,0,1
building_319.png,1,1,0,1
building_320.png,1,1,0,1
building_324.png,1,1,0,1
building_332.png,1,1,0,1
building_340.png,1,1,0,1
building_341.png,1,1,0,1
building_344.png,1,1,0,1
building_346.png,1,1,0,0
building_353.png,1,0,0,1
building_354.png,1,0,0,1
building_358.png,1,1,0,0
building_36.png,1,1,0,0
building_360.png,1,1,0,0
building_363.png,1,1,0,0
building_370.png,1,1,0,1
building_375.png,1,1,1,1
building_385.png,1,0,0,1
building_389.png,1,1,0,1
building_391.png,1,1,0,1
building_392.png,1,1,0,1
building_394.png,1,1,0,1
building_395.png,1,1,0,1
building_402.png,1,1,0,1
building_410.png,1,1,0,1
building_411.png,1,1,0,1
building_413.png,1,1,0,1
building_414.png,1,1,0,1
building_418.png,1,1,0,1
building_427.png,1,1,1,1
building_429.png,1,1,1,1
building_43.png,1,1,0,1
building_431.png,1,1,1,0
building_434.png,1,0,1,1
building_440.png,1,0,0,1
building_441.png,1,0,0,1
building_444.png,1,0,0,1
building_447.png,1,1,0,1
building_448.png,1,1,0,1
building_45.png,1,1,0,1
building_453.png,1,1,0,1
building_456.png,1,1,0,1
building_458.png,1,1,0,1
building_46.png,1,1,0,1
building_466.png,1,1,0,1
building_469.png,1,1,0,1
building_475.png,1,1,0,1
building_476.png,1,1,0,1
building_48.png,1,1,0,1
building_486.png,1,1,1,1
building_49.png,1,1,0,1
building_50.png,1,1,0,1
building_52.png,1,1,0,1
building_54.png,1,1,0,1
building_57.png,1,1,0,1
building_60.png,1,1,0,1
building_63.png,1,1,0,1
building_66.png,1,1,0,1
building_69.png,1,1,0,1
building_76.png,1,1,0,1
building_79.png,1,1,0,1
building_8.png,1,1,0,0
building_81.png,1,1,0,1
building_82.png,1,1,0,1
building_84.png,1,1,0,1
building_86.png,1,1,0,1
building_87.png,1,1,0,1
building_88.png,1,1,0,1
building_9.png,1,1,0,0
building_91.png,1,1,0,1
building_94.png,1,1,0,0
building_96.png,1,1,0,0
building_99.png,1,1,0,0
fighting_1034.jpg,1,1,1,1
fighting_1063.jpg,1,1,1,1
fighting_1362.jpg,1,1,1,1
fighting_1363.jpg,1,1,1,1
fighting_1370.jpg,1,1,1,1
fighting_1440.jpg,1,1,1,1
fighting_1442.jpg,1,1,1,1
fighting_1445.jpg,1,1,1,1
fighting_1448.jpg,1,1,1,1
fighting_1452.jpg,1,1,1,1
fighting_1455.jpg,1,1,1,1
fighting_158.jpg,1,1,1,1
fighting_1583.jpg,1,1,1,1
fighting_1585.jpg,1,1,1,1
fighting_160.jpg,1,1,1,1
fighting_162.jpg,1,1,0,1
fighting_1626.jpg,1,1,0,1
fighting_1630.jpg,1,1,0,1
fighting_164.jpg,1,1,0,1
fighting_168.jpg,1,1,0,1
fighting_1681.jpg,1,1,0,1
fighting_1686.jpg,1,1,0,1
fighting_1715.jpg,1,1,1,1
fighting_172.jpg,1,1,1,1
fighting_179.jpg,1,1,1,1
fighting_261.jpg,1,0,0,0
fighting_273.jpg,1,1,0,1
fighting_275.jpg,1,1,0,1
fighting_456.jpg,1,1,0,1
fighting_458.jpg,1,1,0,1
fighting_462.jpg,1,1,0,1
fighting_482.jpg,1,1,0,1
fighting_820.jpg,1,1,1,1
fighting_829.jpg,1,1,1,1
fighting_830.jpg,1,1,1,1
fighting_851.jpg,1,1,1,1
fighting_852.jpg,1,1,1,1
fighting_855.jpg,1,1,1,1
fighting_858.jpg,1,1,1,1
fighting_860.jpg,1,1,1,1
fighting_861.jpg,1,1,1,1
fighting_868.jpg,1,1,1,1
fighting_869.jpg,1,1,1,1
fighting_872.jpg,1,1,1,1
fighting_873.jpg,1,1,1,1
fighting_877.jpg,1,1,1,1
fighting_880.jpg,1,1,1,1
fighting_883.jpg,1,1,1,1
fighting_901.jpg,1,1,1,1
fighting_903.jpg,1,1,1,1
fighting_910.jpg,1,1,1,1
fighting_915.jpg,1,1,1,1
fighting_933.jpg,1,1,1,1
fighting_934.jpg,1,1,1,1
fighting_935.jpg,1,1,1,1
fighting_937.jpg,1,1,1,1
fighting_945.jpg,1,1,1,1
mining_1.png,1,1,1,1
mining_103.png,1,1,0,0
mining_107.png,1,1,1,0
mining_11.png,1,1,1,1
mining_116.png,1,1,1,0
mining_117.png,1,1,1,0
mining_118.png,1,1,1,0
mining_120.png,1,1,1,0
mining_127.png,1,1,1,0
mining_132.png,1,1,1,0
mining_134.png,1,1,1,0
mining_135.png,1,1,1,0
mining_138.png,1,1,1,0
mining_142.png,1,1,1,0
mining_15.png,1,1,1,0
mining_154.png,1,1,0,0
mining_16.png,1,1,0,0
mining_160.png,1,1,1,0
mining_165.png,1,1,1,0
mining_169.png,1,1,1,0
mining_177.png,1,1,1,0
mining_180.png,1,1,0,0
mining_186.png,1,1,1,0
mining_192.png,1,1,1,0
mining_196.png,1,1,1,0
mining_200.png,1,1,0,0
mining_201.png,1,1,0,0
mining_203.png,1,1,0,0
mining_204.png,1,1,0,0
mining_208.png,1,1,0,0
mining_210.png,1,1,0,0
mining_217.png,1,1,0,0
mining_22.png,1,1,0,1
mining_228.png,1,1,1,1
mining_230.png,1,1,1,1
mining_233.png,1,1,1,1
mining_238.png,1,1,0,1
mining_239.png,1,1,1,1
mining_240.png,1,1,1,1
mining_247.png,1,1,1,1
mining_249.png,1,1,1,1
mining_26.png,1,1,1,1
mining_262.png,1,1,1,1
mining_267.png,1,1,1,1
mining_269.png,1,1,0,1
mining_270.png,1,1,0,1
mining_271.png,1,1,0,1
mining_274.png,1,1,1,1
mining_283.png,1,1,1,1
mining_289.png,1,1,1,1
mining_29.png,1,1,1,1
mining_293.png,1,1,0,1
mining_296.png,1,1,1,1
mining_304.png,1,1,1,1
mining_317.png,1,1,1,1
mining_321.png,1,1,1,1
mining_322.png,1,1,0,1
mining_323.png,1,1,0,1
mining_325.png,1,1,1,1
mining_328.png,1,1,1,1
mining_329.png,1,1,1,1
mining_33.png,1,1,1,1
mining_331.png,1,1,1,1
mining_333.png,1,1,1,1
mining_338.png,1,1,0,1
mining_340.png,1,1,0,1
mining_342.png,1,1,0,1
mining_347.png,1,1,0,1
mining_350.png,1,1,0,1
mining_352.png,1,1,1,1
mining_357.png,1,1,0,1
mining_362.png,1,1,1,1
mining_367.png,1,1,1,1
mining_378.png,1,1,1,1
mining_380.png,1,1,1,1
mining_382.png,1,1,1,1
mining_385.png,1,1,1,1
mining_390.png,1,1,1,1
mining_395.png,1,1,0,1
mining_398.png,1,1,0,1
mining_4.png,1,1,0,1
mining_404.png,1,1,0,1
mining_406.png,1,1,0,1
mining_408.png,1,1,1,1
